iter	Passed	Remaining
0	147	147708
1	151	75380
2	154	51245
3	157	39179
4	160	31977
5	163	27155
6	167	23706
7	170	21112
8	173	19075
9	176	17437
10	179	16095
11	182	14988
12	184	14043
13	187	13233
14	190	12530
15	193	11916
16	196	11384
17	199	10899
18	202	10461
19	205	10078
20	208	9737
21	211	9416
22	214	9123
23	217	8853
24	220	8606
25	223	8385
26	226	8171
27	229	7973
28	232	7788
29	235	7614
30	238	7455
31	241	7302
32	244	7160
33	247	7026
34	250	6898
35	253	6779
36	255	6661
37	258	6556
38	261	6453
39	264	6354
40	267	6259
41	270	6174
42	273	6087
43	276	6011
44	279	5933
45	282	5860
46	285	5789
47	288	5721
48	291	5663
49	296	5627
50	299	5568
51	302	5510
52	305	5455
53	308	5399
54	311	5347
55	314	5298
56	317	5247
57	320	5210
58	324	5168
59	327	5127
60	330	5087
61	334	5056
62	337	5017
63	340	4978
64	343	4939
65	346	4904
66	349	4867
67	351	4811
68	354	4776
69	357	4748
70	360	4721
71	364	4692
72	367	4660
73	370	4630
74	373	4600
75	376	4571
76	378	4541
77	381	4514
78	384	4487
79	387	4461
80	391	4437
81	394	4411
82	397	4386
83	400	4365
84	402	4337
85	406	4315
86	408	4283
87	411	4262
88	414	4242
89	417	4222
90	420	4200
91	423	4178
92	426	4157
93	429	4137
94	432	4116
95	435	4098
96	438	4078
97	440	4058
98	443	4039
99	446	4022
100	449	4003
101	451	3973
102	454	3957
103	457	3943
104	460	3928
105	463	3911
106	466	3895
107	469	3878
108	472	3862
109	475	3846
110	478	3830
111	481	3814
112	483	3798
113	486	3783
114	489	3768
115	492	3750
116	495	3735
117	497	3721
118	500	3702
119	503	3688
120	505	3675
121	508	3662
122	510	3639
123	513	3626
124	516	3612
125	519	3600
126	521	3587
127	523	3568
128	526	3556
129	529	3544
130	532	3532
131	535	3524
132	538	3513
133	541	3501
134	544	3490
135	547	3478
136	550	3468
137	552	3453
138	555	3443
139	558	3432
140	561	3422
141	564	3412
142	567	3401
143	570	3391
144	573	3381
145	576	3371
146	579	3361
147	582	3350
148	584	3341
149	587	3330
150	590	3321
151	593	3312
152	596	3302
153	599	3292
154	602	3282
155	604	3272
156	607	3264
157	610	3255
158	613	3246
159	616	3238
160	619	3230
161	622	3222
162	625	3213
163	628	3204
164	631	3196
165	634	3189
166	637	3181
167	640	3172
168	643	3164
169	646	3156
170	649	3148
171	652	3140
172	655	3131
173	658	3123
174	660	3115
175	663	3108
176	666	3100
177	669	3093
178	672	3085
179	675	3077
180	677	3063
181	679	3055
182	682	3048
183	686	3043
184	689	3038
185	693	3033
186	696	3028
187	699	3022
188	702	3015
189	705	3008
190	708	3000
191	711	2993
192	714	2986
193	717	2979
194	720	2972
195	722	2965
196	725	2958
197	728	2951
198	731	2944
199	734	2937
200	737	2930
201	741	2930
202	745	2927
203	748	2920
204	751	2914
205	754	2907
206	757	2901
207	760	2894
208	762	2887
209	766	2882
210	769	2875
211	771	2869
212	774	2862
213	777	2856
214	780	2850
215	783	2844
216	786	2838
217	789	2831
218	792	2825
219	795	2819
220	797	2812
221	800	2805
222	803	2799
223	806	2793
224	809	2787
225	812	2781
226	814	2774
227	817	2768
228	820	2763
229	823	2758
230	826	2752
231	829	2746
232	832	2741
233	835	2735
234	838	2729
235	841	2723
236	844	2717
237	846	2711
238	849	2705
239	852	2700
240	855	2694
241	858	2688
242	861	2683
243	864	2679
244	867	2673
245	870	2667
246	873	2662
247	876	2656
248	878	2651
249	881	2645
250	884	2639
251	887	2634
252	890	2629
253	893	2624
254	896	2618
255	899	2613
256	902	2608
257	904	2602
258	907	2597
259	910	2591
260	913	2586
261	916	2581
