iter	Passed	Remaining
0	165	165047
1	168	84007
2	174	58150
3	176	44018
4	178	35499
5	179	29765
6	180	25661
7	182	22589
8	183	20204
9	187	18545
10	188	16977
11	190	15655
12	191	14551
13	192	13589
14	194	12760
15	196	12056
16	197	11420
17	202	11026
18	203	10504
19	204	10042
20	206	9621
21	207	9232
22	209	8878
23	210	8562
24	212	8288
25	214	8037
26	216	7804
27	218	7573
28	219	7354
29	221	7161
30	223	6975
31	227	6896
32	229	6719
33	231	6567
34	232	6411
35	234	6267
36	235	6124
37	236	5989
38	237	5861
39	242	5814
40	243	5701
41	245	5592
42	246	5485
43	247	5382
44	248	5283
45	250	5189
46	253	5136
47	254	5053
48	256	4971
49	257	4896
50	259	4819
51	260	4745
52	261	4672
53	262	4606
54	264	4539
55	267	4514
56	269	4454
57	270	4393
58	272	4338
59	273	4282
60	274	4229
61	276	4182
62	277	4134
63	279	4086
64	283	4080
65	285	4034
66	286	3987
67	287	3942
68	288	3899
69	290	3858
70	291	3818
71	293	3779
72	295	3748
73	297	3728
74	301	3719
75	304	3704
76	306	3674
77	312	3693
78	313	3659
79	315	3631
80	317	3598
81	318	3570
82	319	3532
83	321	3500
84	322	3469
85	327	3478
86	328	3451
87	330	3425
88	332	3398
89	333	3372
90	335	3348
91	336	3325
92	342	3343
93	344	3319
94	345	3294
95	347	3269
96	348	3243
97	349	3217
98	350	3192
99	352	3168
100	355	3168
101	357	3147
102	358	3126
103	361	3115
104	363	3094
105	364	3074
106	365	3053
107	367	3034
108	369	3021
109	373	3020
110	374	3002
111	376	2982
112	377	2964
113	383	2976
114	386	2974
115	388	2957
116	389	2938
117	391	2923
118	392	2906
119	398	2922
120	399	2905
121	400	2885
122	402	2867
123	403	2850
124	404	2832
125	405	2815
126	406	2797
127	408	2780
128	410	2773
129	415	2779
130	416	2765
131	420	2762
132	426	2782
133	428	2771
134	430	2757
135	431	2743
136	433	2729
137	434	2715
138	441	2735
139	443	2723
140	444	2710
141	445	2694
142	447	2681
143	449	2670
144	451	2661
145	459	2685
146	460	2672
147	461	2657
148	462	2644
149	464	2630
150	465	2617
151	466	2604
152	472	2616
153	474	2605
154	476	2595
155	477	2584
156	479	2572
157	480	2561
158	489	2588
159	491	2578
160	492	2564
161	493	2552
162	494	2540
163	496	2528
164	502	2541
165	504	2535
166	506	2525
167	508	2515
168	509	2506
169	511	2498
170	519	2516
171	520	2506
172	521	2494
173	523	2483
174	524	2472
175	525	2461
176	527	2450
177	531	2456
178	533	2447
179	534	2436
180	536	2425
181	537	2415
182	538	2404
183	540	2395
184	541	2387
185	553	2420
186	554	2410
187	555	2400
188	557	2390
189	558	2380
190	562	2384
191	564	2375
192	565	2366
193	567	2356
194	568	2347
195	569	2337
196	571	2329
197	572	2320
198	579	2333
199	581	2325
200	583	2317
201	585	2311
202	586	2302
203	587	2293
204	591	2295
205	594	2291
206	596	2284
207	598	2277
208	599	2269
209	600	2260
210	602	2253
211	606	2255
212	608	2248
213	609	2239
214	611	2231
215	612	2223
216	613	2214
217	614	2205
218	616	2197
219	617	2189
220	621	2192
221	623	2184
222	624	2175
223	625	2168
224	627	2160
225	628	2153
226	630	2146
227	631	2138
228	636	2143
229	638	2136
230	639	2128
231	640	2120
232	641	2113
233	643	2105
234	644	2097
235	645	2089
236	646	2082
237	650	2081
238	652	2076
239	653	2069
240	655	2063
241	656	2056
242	657	2049
243	659	2042
244	660	2034
245	661	2027
246	666	2032
247	667	2025
248	669	2018
249	670	2011
250	671	2004
251	672	1997
252	674	1990
253	675	1983
254	676	1977
255	682	1983
256	684	1977
257	685	1971
258	686	1964
259	688	1958
260	689	1952
261	691	1946
262	692	1941
263	694	1935
264	695	1929
265	697	1924
266	698	1917
267	699	1911
268	700	1904
269	702	1898
270	706	1899
271	707	1894
272	709	1889
273	711	1883
274	712	1877
275	713	1872
276	714	1866
277	716	1860
278	717	1854
279	721	1854
280	722	1848
281	723	1843
282	725	1837
283	726	1831
284	727	1825
285	728	1819
286	730	1813
287	731	1808
288	732	1802
289	756	1851
290	758	1847
291	759	1842
292	761	1837
293	763	1832
294	764	1828
295	775	1843
296	777	1841
297	790	1863
298	793	1859
299	795	1856
300	797	1852
301	799	1848
302	804	1849
303	810	1856
304	812	1852
305	817	1853
306	818	1848
307	820	1842
308	824	1844
309	826	1838
310	827	1833
311	829	1828
312	830	1822
313	831	1817
314	833	1811
315	834	1806
316	841	1812
317	842	1807
318	844	1802
319	845	1797
320	848	1794
321	849	1789
322	856	1795
323	858	1790
324	859	1785
325	861	1780
326	862	1774
327	863	1770
328	865	1765
329	874	1774
330	876	1770
331	877	1765
332	878	1760
333	880	1754
334	881	1749
335	885	1750
336	887	1745
337	888	1739
338	889	1734
339	890	1729
340	892	1724
341	893	1719
342	895	1715
343	903	1722
344	904	1717
345	907	1716
346	909	1711
347	911	1708
348	917	1711
349	919	1707
350	921	1704
351	926	1705
352	934	1712
353	936	1708
354	937	1703
355	939	1699
356	940	1694
357	942	1689
358	946	1689
359	948	1685
360	949	1680
361	951	1676
362	952	1671
363	954	1666
364	956	1663
365	957	1659
366	960	1655
367	961	1651
368	963	1647
369	965	1643
370	967	1640
371	973	1643
372	976	1640
373	978	1637
374	982	1637
375	989	1642
376	991	1637
377	992	1633
378	993	1628
379	995	1623
380	996	1619
381	997	1614
382	999	1609
383	1004	1610
384	1005	1606
385	1007	1603
386	1009	1598
387	1010	1594
388	1012	1590
389	1013	1585
390	1022	1593
391	1025	1589
392	1028	1587
393	1029	1583
394	1033	1583
395	1034	1578
396	1036	1574
397	1037	1569
398	1039	1565
399	1040	1560
400	1042	1556
401	1043	1552
402	1050	1555
403	1051	1550
404	1052	1546
405	1053	1541
406	1055	1537
407	1056	1532
408	1057	1528
409	1058	1523
410	1059	1518
411	1064	1519
412	1066	1515
413	1068	1512
414	1069	1508
415	1071	1503
416	1072	1499
417	1073	1494
418	1075	1490
419	1080	1491
420	1081	1487
421	1082	1483
422	1084	1478
423	1085	1474
424	1086	1470
425	1087	1465
426	1089	1461
427	1090	1457
428	1095	1458
429	1097	1454
430	1098	1450
431	1099	1446
432	1101	1442
433	1103	1438
434	1104	1434
435	1110	1436
436	1111	1431
437	1112	1427
